# logn beta gamma alpha delta logL logPrior
-1.423768325474713059e+01 4.011296012821887302e+00 9.174053765266412253e-01 -1.061771125682928751e+00 -4.914075935913480020e-01 -1.156575728632114064e+01 0.000000000000000000e+00
-1.518739250542686392e+01 5.011580783171258879e-01 2.581465055649215135e+00 2.887657036338314942e+00 7.404570485450635564e-01 -1.156575468493014114e+01 0.000000000000000000e+00
-1.741184314115768927e+01 -4.823892980927026453e-01 2.797140511844949273e+00 -2.139267242649583789e+00 8.267938349827649303e-01 -1.156575252488915595e+01 0.000000000000000000e+00
-1.044050773325975001e+01 1.731459364200918838e+00 2.019427559035879227e+00 -2.314825738185124937e+00 -3.891375457517610714e-01 -1.156557991529135521e+01 0.000000000000000000e+00
-8.812429761349648061e+00 3.740324852519902876e+00 5.849794397415992719e-01 -2.621322208182321312e+00 -7.667713510808278343e-01 -1.156556551320124449e+01 0.000000000000000000e+00
-7.121705349668648211e+00 3.598468182478568589e-01 2.385753997973095453e-01 -2.248863667048526693e+00 -8.499826218839174885e-01 -1.156537391255249148e+01 0.000000000000000000e+00
-9.051524402115786572e+00 5.452893194377076647e+00 2.474168579152861369e+00 2.006150684980986476e+00 3.801924362809439017e-02 -1.153648159507282855e+01 0.000000000000000000e+00
-4.438173502735901721e+00 -4.681901554085776684e-02 4.041677288667292700e+00 1.665309237059045877e+00 4.322533397125935539e-01 -1.106766927448836846e+01 0.000000000000000000e+00
-5.598462322509030642e+00 3.740085929710278645e+00 2.135582272693001826e+00 2.087648449400909545e+00 1.562997107468288294e-01 -1.103864729694640445e+01 0.000000000000000000e+00
-1.223393746717950137e+01 4.266362562309988782e+00 7.304431927807115699e-01 -2.494309462772027697e+00 1.726506867173502213e+00 -1.072926114975807010e+01 0.000000000000000000e+00
-3.025641588212668598e+00 5.196060689375747721e-02 2.262774575527682686e+00 1.924733820032352050e+00 3.441293704015891963e-01 -9.063763401702143341e+00 0.000000000000000000e+00
-3.396533300204765737e+00 3.015821796073440142e-01 4.083517697752307107e+00 2.282964554624425269e+00 1.405788200466316251e+00 -8.991834758570277586e+00 0.000000000000000000e+00
-3.612808917536183717e+00 3.809562891300938059e+00 7.539900470844649316e-01 2.391130347652384192e+00 6.167805333902052212e-01 -8.285742156627460275e+00 0.000000000000000000e+00
-1.511293396172785020e+00 3.699963068932758947e+00 2.424625574839002873e+00 2.579840492918913597e+00 -9.148299716190455566e-01 -8.159754100232579077e+00 0.000000000000000000e+00
-4.519606237948208260e+00 4.227885698810756487e+00 3.025488449285394843e+00 2.022223235638991756e+00 1.872715761320781436e+00 -8.135719162716439357e+00 0.000000000000000000e+00
-8.229234600148936707e+00 3.916570783551202695e+00 2.909031700025355605e+00 -1.935272079635275588e+00 1.133884962392049278e+00 -8.062717462789121825e+00 0.000000000000000000e+00
-3.410998735018987205e+00 2.844611475434327463e+00 4.953789100094936337e+00 -7.169307660024109019e-01 5.477069727786226805e-02 -8.057792944445854033e+00 0.000000000000000000e+00
-6.151668329598236618e+00 6.665681377443782196e+00 4.254986993974488207e+00 2.046921993418509000e+00 1.969001829150822447e+00 -8.035947078479622974e+00 0.000000000000000000e+00
-2.814690088938609946e+00 3.241181851617968679e+00 4.670929057044280519e+00 1.284466858721337035e+00 -6.646674562316494672e-01 -7.767203339727068112e+00 0.000000000000000000e+00
-4.385789147174105729e+00 5.268924800415970999e+00 1.463110757739352952e+00 1.005587042266432363e+00 7.580696058728609854e-01 -7.612743037421831005e+00 0.000000000000000000e+00
-3.420186132872037099e+00 -9.102028523049270348e-01 3.643229221203543311e+00 -1.557287125409236861e+00 3.351488842486343156e-01 -7.525093567805652306e+00 0.000000000000000000e+00
-5.803896790260825611e+00 6.724243000380009327e+00 2.299064803398924717e+00 4.245328471694103656e-01 7.019325993023763921e-01 -7.481258989187010933e+00 0.000000000000000000e+00
