# logn beta gamma alpha delta logL logPrior
-2.022358226781418189e+00 2.224317971648118508e+00 9.167638399475031008e-01 1.717758377788142665e+00 3.071889472885788730e-02 -1.072146775093945514e+01 0.000000000000000000e+00
-6.289966138055320677e+00 5.917716630850777371e+00 4.210296227993940654e+00 -9.456196215100088898e-01 1.355744503343314422e+00 -9.078935905060333766e+00 0.000000000000000000e+00
-1.995514341403427094e+00 4.995023251842164669e+00 1.779759585940067668e+00 6.082905830591242013e-01 3.627532051861193652e-01 -7.613726650901710080e+00 0.000000000000000000e+00
-1.536798144078645345e+00 -1.865725685911217013e+00 7.258577725579780093e-01 1.085402066302221025e+00 7.790554311379014329e-01 -7.255767597913783007e+00 0.000000000000000000e+00
-3.150039197151392578e+00 1.636458888161325342e+00 4.095228434034345000e+00 1.575561568127379145e-02 8.498189046470665531e-01 -6.932667278005587796e+00 0.000000000000000000e+00
-5.418376908886452625e+00 1.804328919731111647e+00 3.285095091595488626e+00 -2.480833524571477877e+00 6.638842875900472507e-01 -6.790810343656271897e+00 0.000000000000000000e+00
-6.076266865869201617e+00 4.718015402101759292e+00 2.518483516906112385e+00 -1.906395680855204944e+00 6.897202245834215262e-01 -6.758146844161109001e+00 0.000000000000000000e+00
-5.577902470647869926e+00 4.860264795009416439e+00 2.558099374361436862e+00 -2.676206335403767067e+00 3.374084293824090031e-01 -6.678667485268116266e+00 0.000000000000000000e+00
-2.474768813408223966e+00 -1.938731294964140428e+00 2.654718775338247294e+00 -9.673942890506668224e-01 9.791467345253406229e-01 -6.451038241796975825e+00 0.000000000000000000e+00
-9.913476272361855024e+00 2.688496074305985140e+00 2.809070912700101896e+00 -2.133882296066588413e+00 1.884434183048531608e+00 -6.445276255444177593e+00 0.000000000000000000e+00
-2.922335476486087380e+00 5.582227145691502024e+00 9.161049303144627176e-01 -8.240554463598655233e-02 8.717614874260177782e-01 -6.128642792710151888e+00 0.000000000000000000e+00
-1.332473326602050090e+00 -7.268371500127406293e-01 1.740115600562486708e+00 -2.923135995866481540e+00 -1.977294719149479962e-01 -6.040757775063602786e+00 0.000000000000000000e+00
-1.237624563850923121e+00 1.062035962402474221e+00 4.406284980567925835e+00 -2.516669056309186026e+00 -2.918753833570552070e-01 -5.986583894172545328e+00 0.000000000000000000e+00
-2.399742874436573192e+00 1.381292754564868330e+00 2.701721263022133002e+00 8.975796221565006672e-01 9.661381878851206251e-01 -5.865029455997881946e+00 0.000000000000000000e+00
-7.902129766667975730e-01 7.328753716741864821e-01 1.325902596899650288e+00 2.217737614407653712e+00 7.724130015171282171e-01 -5.863781510331881108e+00 0.000000000000000000e+00
-8.980320440860417586e-02 -1.328724960719770865e+00 2.717901730226143009e+00 8.140296675356536449e-01 2.844197344006633155e-01 -5.772779300436220673e+00 0.000000000000000000e+00
-6.252592625745937660e+00 6.471829148093025452e+00 3.065987285532107975e+00 -2.539167328697854220e+00 2.787580849041681463e-01 -5.731222509502357454e+00 0.000000000000000000e+00
-5.270920312632701332e+00 5.471298547476433960e+00 7.526622107036620157e-01 1.438067873437945676e-01 1.912338938797346177e+00 -5.697892693735635561e+00 0.000000000000000000e+00
-5.183071063072157258e+00 6.644705625270378668e+00 4.136559182843912552e+00 -5.676524039588171089e-01 3.150421216693627402e-01 -5.561374028977486894e+00 0.000000000000000000e+00
-1.653211383951473046e+00 2.926722420830549343e+00 2.201325694130472355e-01 -1.200471329386202157e+00 1.615419929764516371e-01 -5.491475451342792802e+00 0.000000000000000000e+00
-4.857174543239286990e+00 4.783462296246291601e+00 4.093361729055490450e+00 5.071553669114758911e-01 1.430442087550159780e+00 -5.472482772668897155e+00 0.000000000000000000e+00
-4.186636611932818219e+00 6.395373723309107916e+00 2.240080541551656701e+00 -1.741243646297147674e+00 2.822608401367769360e-01 -5.453891180693393181e+00 0.000000000000000000e+00
-2.523618331623148858e+00 6.588732038657248324e+00 4.486331068101281794e+00 -8.083287047010419002e-01 -7.996916442850128259e-01 -5.429063648074780701e+00 0.000000000000000000e+00
-1.478448093552551690e+00 1.947957669038905992e+00 2.212407253702221688e+00 2.608134341891267027e+00 1.975529609067232739e+00 -5.306787485929246095e+00 0.000000000000000000e+00
1.106380912209542933e+00 2.688719505615894123e-01 3.895063210527724973e+00 -1.559549197398492071e+00 -5.156370203875719760e-01 -5.268214689174636867e+00 0.000000000000000000e+00
-8.218532793297962158e+00 9.813555962948832256e-01 4.022729967071257740e+00 -2.599312480358717981e+00 1.356423100484595690e+00 -5.222344679221639474e+00 0.000000000000000000e+00
-5.826946361508026584e+00 5.756702324110597679e+00 7.331395806675807814e-01 -2.969602761755432141e+00 7.248434487830193174e-01 -5.165215883582632728e+00 0.000000000000000000e+00
-8.481416643015026180e-01 2.076261861967447775e+00 2.888798478852785401e+00 2.975224505380510420e-01 2.003867277509542855e-01 -5.113570786657383849e+00 0.000000000000000000e+00
-1.394810615697140710e+00 3.087001266311332870e+00 1.342988979720236564e+00 2.836849086437396750e+00 -6.835208693748809905e-01 -5.075126284975182145e+00 0.000000000000000000e+00
1.641068502099852999e+00 -2.345027359559026248e-01 9.389494798016355670e-01 1.656613588795399772e-02 -8.339148309416416494e-01 -5.066378374201948809e+00 0.000000000000000000e+00
-1.776940729856844259e+00 -6.057319924268738109e-01 3.615502702026857307e+00 2.267093079170241054e+00 1.207769123293820634e-01 -5.053153893151005605e+00 0.000000000000000000e+00
-2.745107269831880803e+00 4.598629514788535211e+00 2.429051596182217221e+00 2.718713631920620877e+00 9.664101099471410494e-01 -5.026101598744280530e+00 0.000000000000000000e+00
9.032487940887641287e-01 -1.323400657093440680e+00 4.856717789297546162e+00 -2.990292022591175325e+00 -4.247428770302127399e-01 -4.994895353903904933e+00 0.000000000000000000e+00
-2.244792877096434491e+00 1.835006589769947905e+00 2.495140923355117391e+00 7.010955320092224774e-01 6.069483739190721927e-01 -4.970156014933460042e+00 0.000000000000000000e+00
-1.227600877008587332e+00 -2.637231843344367554e-02 3.484278751307735789e+00 -2.465752387703503246e+00 6.382213624595600709e-02 -4.911806985978904194e+00 0.000000000000000000e+00
-3.453096087054738361e-01 5.929218097670526433e+00 1.177658613547425848e+00 -1.039544202723555522e+00 -6.589200445793520489e-01 -4.882379508518692290e+00 0.000000000000000000e+00
-4.939327660160944267e-01 -3.207414385723630357e-01 4.370387495735558181e-01 2.097784232946877658e+00 1.930488544691457697e+00 -4.878010276693110825e+00 0.000000000000000000e+00
-3.956395880018112710e+00 4.695484995818089757e+00 2.131903822727124087e+00 2.870623706622683624e+00 9.070085197317450110e-01 -4.874189495891786628e+00 0.000000000000000000e+00
-4.645225353463374063e+00 -6.814722530423997782e-01 2.781153541421723219e+00 -1.544084334232565636e+00 9.810155306781832563e-01 -4.865995676917530766e+00 0.000000000000000000e+00
-3.896286245579152929e+00 6.375534330248406434e+00 1.275358897065923980e+00 2.731273402689219143e+00 -7.832638406759460104e-01 -4.861145838673111008e+00 0.000000000000000000e+00
-3.024953493642236868e+00 3.838985550765084298e+00 2.793296925316939738e+00 1.951382124173738575e+00 2.821979178311256331e-01 -4.808200172888409618e+00 0.000000000000000000e+00
-4.356620344776192866e+00 4.345788026426776085e+00 4.795639341621069640e-01 -4.758543616683635902e-01 1.280780138200916518e+00 -4.807360244067201194e+00 0.000000000000000000e+00
-3.358572935277869487e+00 -5.373186887569686432e-01 3.270693620184785266e-01 -1.774239561723485625e+00 9.340353343285969778e-01 -4.745954732317206215e+00 0.000000000000000000e+00
-1.161568081908301631e+00 5.947254760444784516e-01 4.080306490069414593e+00 -7.670552298891136767e-02 5.309245533635693626e-01 -4.692983665217719924e+00 0.000000000000000000e+00
8.985703013938963757e-01 4.918059443752904880e-02 3.468355487943149296e+00 -8.197734335503088499e-01 -4.636266221403223531e-01 -4.689199585838619733e+00 0.000000000000000000e+00
-6.596993197313382851e+00 -1.503628851939327049e+00 8.683279073905105783e-01 -1.856079625844321512e+00 1.787452891344545547e+00 -4.674275398790183722e+00 0.000000000000000000e+00
-2.780903831021861450e+00 -2.058740273319669134e-01 4.154394830532148752e+00 5.532908295559766376e-01 1.436908596646975012e+00 -4.670617655516526412e+00 0.000000000000000000e+00
3.228838736935731868e-01 -1.812958837667563605e+00 3.701823523809199656e+00 1.004754561784878764e+00 -2.236726257333953027e-01 -4.665417562560885578e+00 0.000000000000000000e+00
-5.471304522827744599e+00 6.908629814891001253e+00 3.674903417905112324e+00 2.646373156701799623e+00 1.017186369844204741e+00 -4.662474167570422878e+00 0.000000000000000000e+00
-1.232593775687141235e+00 2.081997867680586367e+00 2.559925097466588806e+00 2.074141388157903609e+00 4.395180686472458520e-01 -4.648228168962332596e+00 0.000000000000000000e+00
-1.367000432568492352e+00 -4.336437383748196206e-01 4.352228054043102423e-01 2.626895094904894812e+00 -6.376256497176073790e-01 -4.629246487602747706e+00 0.000000000000000000e+00
-8.186038061524272269e-01 7.775727234575957603e-01 2.814213226932086531e+00 -8.980408064463257789e-01 -2.718285111471229754e-01 -4.628559065986836529e+00 0.000000000000000000e+00
-5.245973287904840632e+00 5.755704423836121020e-01 1.143201934242701112e+00 -1.769235260080383787e+00 1.359883033865028512e+00 -4.600689533243184748e+00 0.000000000000000000e+00
-7.244293234192993758e+00 2.708991841527993660e+00 3.957643869606902065e+00 -1.545669900549666576e+00 1.827398182302715002e+00 -4.596495563911397575e+00 0.000000000000000000e+00
-1.925355205871817299e+00 2.956429363392487630e+00 5.670026500341185383e-01 8.773407085269099293e-01 6.399278465393175575e-01 -4.594551235630650154e+00 0.000000000000000000e+00
-8.352682471876727632e+00 6.533181083537726863e+00 2.420228986556350659e+00 -1.883520404208640642e+00 1.372148252124072210e+00 -4.590329326050986758e+00 0.000000000000000000e+00
-7.783003203174412299e+00 2.102133183083496171e+00 4.814586947862696142e+00 -1.607647495907049917e+00 1.681515065642753104e+00 -4.570289652360208343e+00 0.000000000000000000e+00
-4.810606751250428914e+00 3.908841941326965941e+00 3.193624809457785485e+00 1.942937665195606511e-01 1.540559015124505216e+00 -4.569610913965456156e+00 0.000000000000000000e+00
-1.733620164953358633e-01 -1.090932435366493536e+00 6.548155059045854820e-01 1.365868252381616355e+00 4.891467325206917405e-01 -4.560997647917846010e+00 0.000000000000000000e+00
-7.016883162006921637e+00 6.748021689865791650e+00 6.484916669824644098e-01 -1.161581329731239176e+00 1.433559557914929616e+00 -4.531270953493054421e+00 0.000000000000000000e+00
-7.651374480084972340e+00 6.107100271823211912e+00 3.157338268298433004e+00 -2.888957551492064457e+00 5.828111346048597818e-01 -4.526969632831601587e+00 0.000000000000000000e+00
-8.654236439478985021e-02 -1.668960230940702560e-01 2.839453702294672421e+00 1.499794940330682724e+00 -2.970304366392612083e-01 -4.507672981121133127e+00 0.000000000000000000e+00
-2.418198859838899040e+00 4.780593052647203578e+00 3.262065589144757194e+00 -1.074883389331271477e-01 -3.487951670715669916e-01 -4.486459786943997941e+00 0.000000000000000000e+00
-1.049269123654218205e+00 2.524600684096871994e+00 4.992673722909994893e+00 -2.777952763389991198e+00 -4.539797751000369530e-01 -4.477733338995156132e+00 0.000000000000000000e+00
2.436545645961365469e-01 1.836897994287082003e+00 2.507630744015572066e-01 1.276571229488892456e+00 -1.593770058788437916e-01 -4.448752415488689493e+00 0.000000000000000000e+00
-7.196841510454211388e+00 1.088165181978821394e+00 2.755648743797495470e+00 -1.644924821716087671e+00 1.608789756444845676e+00 -4.429496161669315590e+00 0.000000000000000000e+00
-3.956564833922961544e+00 6.039955486333892232e+00 4.380129910749301025e+00 2.754937968907440471e+00 1.278503553003301318e+00 -4.403327917811061809e+00 0.000000000000000000e+00
-2.156417267471290700e+00 3.990630834815306116e+00 6.939117930648635024e-01 8.986681638197918653e-01 1.837406514397029511e+00 -4.401330659942249923e+00 0.000000000000000000e+00
-3.542220430410148335e+00 5.292720409719322561e+00 1.035261906694077361e+00 2.885966765364331721e+00 -2.050070385904396719e-01 -4.395965971902374037e+00 0.000000000000000000e+00
2.880772885218232937e-01 -6.309368772950951776e-01 1.215631113042674016e+00 -6.789814431856244781e-01 -1.263862779253305535e-01 -4.362218837810661221e+00 0.000000000000000000e+00
-2.161714305753243082e+00 -6.443107140071040462e-01 4.304992748204269581e+00 -1.914530833263994758e+00 4.332940334379209446e-01 -4.353990592271948401e+00 0.000000000000000000e+00
-2.051333762882928902e+00 1.073827357019614182e+00 8.928704749066931345e-01 2.422082487875586665e+00 1.807341065005103165e+00 -4.353520075037859982e+00 0.000000000000000000e+00
-2.013691562970473914e+00 1.742029442235902836e+00 3.782161114775540067e+00 -1.578249047652496184e+00 3.066518363616038689e-01 -4.352922028166350543e+00 0.000000000000000000e+00
-1.262628693825553761e+00 -9.690875693522031931e-01 3.601120878915696544e+00 -1.362319087324227462e+00 3.176954611836232956e-01 -4.352773013320498485e+00 0.000000000000000000e+00
-8.465422728625787485e+00 -8.724277627649693612e-01 2.141047567315188083e+00 -2.371627076772947706e+00 1.644464501645114707e+00 -4.351074371541582941e+00 0.000000000000000000e+00
4.666983267243818290e-01 -4.270803514802904988e-01 6.183923183932975576e-01 -8.650408436336998186e-01 -5.883238646978875552e-01 -4.345106086953384406e+00 0.000000000000000000e+00
