# logn beta gamma alpha delta logL logPrior
-1.113082546847981291e+01 3.454268955515894746e+00 1.324660305250474401e+00 -2.745559381143626521e+00 1.778008011275688638e+00 -1.092220406485985507e+01 0.000000000000000000e+00
-2.225731843305611246e+00 2.778620542619012035e+00 5.237985155930131587e-01 9.412089008280082325e-01 1.016869094998396283e+00 -6.516497451866399615e+00 0.000000000000000000e+00
-3.275161468514876439e+00 4.811045948317687504e+00 4.157880200278689209e+00 8.555484853950399149e-01 -1.672162221895819034e-02 -6.468148818468366201e+00 0.000000000000000000e+00
-2.448978409656680899e+00 5.818356327847808096e+00 4.631708085027510080e+00 1.382507009673213938e+00 -5.003938010996720198e-01 -6.188974351133288643e+00 0.000000000000000000e+00
-4.153622266275946551e+00 -3.736057758464163547e-01 9.192518978290642462e-01 -2.080674955246875069e+00 9.845114468821257736e-01 -6.132139649086161270e+00 0.000000000000000000e+00
-1.328557410045207554e+01 1.545437928814383577e+00 4.384266058916030495e+00 -2.017115838606329703e+00 2.970965859191779135e+00 -6.096794974150233415e+00 0.000000000000000000e+00
-3.026932202422353502e+00 4.497365064720467487e+00 1.652821292834298683e+00 6.899981527231417999e-01 1.655215355664008348e+00 -6.017212630731783918e+00 0.000000000000000000e+00
-3.540327462674715431e+00 3.273596124164316556e+00 2.529574991386378535e+00 -1.307078229588341856e+00 3.329186894578748945e-01 -5.702649342440452962e+00 0.000000000000000000e+00
-1.549679683687350895e+01 5.554003983461093696e+00 4.659936837439036417e+00 -2.720044782783781923e+00 2.722763617717419038e+00 -5.601709266618668082e+00 0.000000000000000000e+00
-3.937691372220595287e+00 -1.814763966704336928e+00 2.619983437200712029e+00 2.792223989642086956e-02 1.828112155413428086e+00 -5.541150617536851897e+00 0.000000000000000000e+00
-3.796844374021196344e+00 6.910419607293942335e+00 2.234006881090221608e+00 2.595945933931050886e-01 -2.755232566395259264e-01 -5.466712820553721208e+00 0.000000000000000000e+00
-3.226443376239804817e+00 9.808267082914817747e-01 1.285942843750438547e+00 3.462435738767751792e-01 2.378067238448151599e+00 -5.419161713997683094e+00 0.000000000000000000e+00
-2.737340864308432486e+00 2.151835807062069339e+00 3.885446059287124054e+00 2.485700991542937999e+00 6.493948572250464180e-01 -5.417002620491386367e+00 0.000000000000000000e+00
-5.319023480821231109e-01 2.528175342635440082e+00 1.680517704333775120e+00 4.887737266607734554e-01 -1.747409501942813470e-02 -5.408957729009486570e+00 0.000000000000000000e+00
-3.855841210501802507e+00 3.564713537942065358e+00 4.176631091091218551e-01 -9.352316919169003651e-01 1.350663299081089841e+00 -5.314817245318600669e+00 0.000000000000000000e+00
-3.697441399705581055e+00 4.372963766521708706e+00 2.561519142325144660e+00 2.484361191565841676e+00 2.882388440759930504e+00 -5.268556042057530142e+00 0.000000000000000000e+00
-1.563176157536362965e+00 4.951297730161299704e+00 4.159074032976259438e+00 3.172806122236148663e-01 -3.696000418825118317e-01 -5.249458226312258446e+00 0.000000000000000000e+00
-1.070506698617708530e+00 -1.629225162204015254e+00 1.181861768751045538e+00 1.211677890259180934e+00 2.275284656081951518e+00 -5.223017841560419150e+00 0.000000000000000000e+00
-3.408132697047467019e+00 5.314347040869116690e+00 3.165181953417852245e+00 2.883099942486869516e+00 2.462380514434949763e+00 -5.173736757510439155e+00 0.000000000000000000e+00
-4.305470111393627342e+00 6.143354178539276234e+00 2.726640025148140634e+00 2.085943167492246175e+00 -1.435015064317131939e-01 -5.141463645951050765e+00 0.000000000000000000e+00
-3.735303225931384308e+00 6.258200950455792722e+00 8.707593896825500668e-01 2.288202218976605362e+00 2.123860290410967355e+00 -5.136904981426827277e+00 0.000000000000000000e+00
-6.414305667379155196e+00 1.104255987102147341e+00 3.136197949499470283e+00 -5.674546024058465532e-01 2.693016472959064878e+00 -5.119800283654335260e+00 0.000000000000000000e+00
-3.405041159154079011e+00 4.653374937036237391e+00 1.043993009288242346e+00 2.783360989271417729e+00 2.559999565322882198e+00 -5.101040817853141007e+00 0.000000000000000000e+00
-3.348998971517347822e+00 -1.266171898126676187e-01 4.849476960234150091e+00 2.071189994250766664e-01 2.257374406874179229e+00 -5.090654330653892501e+00 0.000000000000000000e+00
-3.021314063084981072e+00 -7.104509508783797278e-01 3.592077611326416342e+00 -2.422513570427204499e+00 5.401743710727324732e-01 -5.072180784943630449e+00 0.000000000000000000e+00
-4.216606433363111250e+00 4.726069192256342255e+00 2.397469600921970034e+00 -1.080650199442597659e+00 3.881088677007376031e-01 -5.061226271025652146e+00 0.000000000000000000e+00
-3.074646598201847603e+00 4.886495739461633292e+00 1.035823047337862235e+00 1.347856458713386996e+00 1.010822758080394346e+00 -5.061047777530311542e+00 0.000000000000000000e+00
9.335267146326695631e-01 -1.581384908746562346e+00 4.120361718160971520e+00 -1.121123322351589291e+00 -7.708547163284364956e-01 -5.002193542328574161e+00 0.000000000000000000e+00
-2.525198988029807801e+00 2.195958285688992540e+00 2.402593180027556397e+00 1.887123965413944893e+00 2.124335012748283180e+00 -4.918172736609248474e+00 0.000000000000000000e+00
-9.282095426156788953e-01 8.755975285233383865e-01 2.552368131400419404e+00 2.037748589017714274e+00 8.539657115630343576e-01 -4.890275457224788624e+00 0.000000000000000000e+00
-4.522361930995139723e+00 5.563628237586553560e+00 8.821459036718031221e-01 -2.749131372449157951e+00 4.648015074719848982e-01 -4.851851218005714728e+00 0.000000000000000000e+00
-5.322962005801644914e+00 3.455458767766662831e+00 4.582814750060918207e+00 -2.209948358114422362e+00 8.382903998741343399e-01 -4.848274420370877635e+00 0.000000000000000000e+00
