# logn beta gamma alpha delta logL logPrior
-3.713351869468727529e+00 3.154953956990043107e-01 2.038285358741843911e+00 -8.584882512284175426e-01 1.467490804647539449e+00 -1.003323818465328721e+01 0.000000000000000000e+00
-3.945305778242425010e-01 -1.765542580080835533e+00 1.524362052780253718e+00 -6.829271120272124573e-01 2.985917165462759759e-01 -8.500164090779259496e+00 0.000000000000000000e+00
-3.355802848773344227e+00 3.778881924479989829e-01 4.083174615142345587e+00 -3.946540632251227532e-01 1.594501842664573177e+00 -7.947796772652482744e+00 0.000000000000000000e+00
1.108446190219096072e+00 2.725718259921402709e+00 1.989240951541218827e+00 -2.006605185734315622e-01 -8.772196142647279427e-01 -7.234174003471001591e+00 0.000000000000000000e+00
-1.013260292355984138e+00 5.691726778163518574e+00 1.377028379294682248e+00 -2.787230927617713405e+00 -4.201611874318160189e-01 -7.158253362470891723e+00 0.000000000000000000e+00
-1.144898494849016402e+00 3.955839422793332449e+00 1.357982325960337855e+00 -7.420941546439591141e-01 -5.236969029325339031e-01 -6.892835583116764475e+00 0.000000000000000000e+00
-1.123144934714548526e+01 5.215951338607005994e+00 3.548567346033099312e+00 -2.057409235418307780e+00 1.904064265374869169e+00 -6.783282722931469166e+00 0.000000000000000000e+00
-7.284974744400676272e+00 2.142726024909487936e+00 2.625555324179816186e+00 -1.630234202144082101e+00 1.514624597785136473e+00 -6.627189399588431229e+00 0.000000000000000000e+00
-1.699971847018328042e+00 2.888130235274789737e+00 2.258807101839367171e+00 -8.721295671350510759e-01 -2.076949010203057444e-01 -6.469042287912171396e+00 0.000000000000000000e+00
-2.984153070616813785e+00 -1.004812277931125930e+00 2.549067436749399285e+00 -2.407322365269904729e+00 2.526949859466932624e-01 -6.428418900662816071e+00 0.000000000000000000e+00
-7.462722670793318969e+00 3.603260190416741171e+00 2.020330326949015820e+00 -1.510255009099942480e+00 1.895001833496501975e+00 -6.344067076658387982e+00 0.000000000000000000e+00
5.797289135546136452e-01 1.154885359605601902e+00 2.717960179663089448e+00 -2.014891340270447362e+00 -7.421474196741613127e-01 -6.106408515783531499e+00 0.000000000000000000e+00
-3.765104659793589992e+00 4.149630422176645794e+00 9.684937975018401701e-01 -1.878630833392825883e+00 6.635913858790358777e-01 -6.098755607544443791e+00 0.000000000000000000e+00
