# logn beta gamma alpha delta logL logPrior
-6.746571307575621290e+00 6.763113592868570834e+00 2.792015951808597407e+00 -2.259260539788947586e+00 3.821760950880553898e-01 -9.627388158491298142e+00 0.000000000000000000e+00
-1.020391791242455959e+01 6.157759261300433273e+00 4.836926301269009798e+00 -1.107320500740219815e+00 2.039719079151908865e+00 -9.120091084731070552e+00 0.000000000000000000e+00
-4.658418088463387896e+00 3.608844697531604861e+00 3.763519502002335759e+00 -1.934387412765739001e+00 7.886949876013573668e-01 -7.570238236449346125e+00 0.000000000000000000e+00
-4.501660700281465033e+00 4.026994229793172231e+00 3.296113516318551095e+00 -2.180413583282219125e+00 6.064696026562677034e-01 -6.586831115064445186e+00 0.000000000000000000e+00
-8.152591706739192645e+00 5.112231018241131686e+00 3.238363812886132731e+00 -7.507617232775922744e-01 1.930736697133073720e+00 -6.374720559251604080e+00 0.000000000000000000e+00
-8.220020537993204257e-02 2.866494520048381567e+00 1.003894573844814175e+00 -1.753836895682426400e+00 -2.511128941954150484e-01 -6.241710686360728566e+00 0.000000000000000000e+00
-1.146002337561222006e+01 3.139918883235418789e+00 4.084548295328427336e+00 -2.764219697161986566e+00 1.822116213331715695e+00 -6.054033349122001972e+00 0.000000000000000000e+00
-1.705724665641006510e+01 6.802626808203060982e+00 5.252124075073374421e-01 -2.894443848935321917e+00 2.945256130536025196e+00 -5.931347590443801110e+00 0.000000000000000000e+00
-2.704021653422139071e+00 1.540364246134162229e+00 3.857377301797281000e+00 -6.896255095841461458e-01 9.143881840206937728e-01 -5.834276683310181788e+00 0.000000000000000000e+00
-7.134678327067094372e+00 1.875786711834075193e+00 4.843671353663237866e+00 -2.314614346283998092e+00 1.443824433989968625e+00 -5.793593366710706682e+00 0.000000000000000000e+00
-3.995106951547703567e+00 6.160112161951927234e+00 4.305147050411260778e+00 -3.879104319484270591e-01 5.207453561119644858e-01 -5.700637974774383387e+00 0.000000000000000000e+00
-8.947232356179934953e+00 1.501559681494146981e+00 3.093306710158253203e+00 -8.169731732117813117e-01 2.894400034335200544e+00 -5.658380638075425573e+00 0.000000000000000000e+00
-7.539705807140204108e+00 8.098083355957954588e-01 3.819286071326235099e+00 -2.335446643687219659e+00 1.320106592483662578e+00 -5.656712016823765232e+00 0.000000000000000000e+00
-2.803581756203873621e+00 -1.166562463117383652e+00 9.750447515974162149e-01 -8.745684727387752211e-02 1.749606127858549298e+00 -5.514655487590880867e+00 0.000000000000000000e+00
