# logn beta gamma alpha delta logL logPrior
-1.874258231357018900e+01 -1.880782933817971569e+00 3.688241049477046118e+00 -1.674358207512209651e+00 -4.670690791027262700e-01 -1.156575963292311648e+01 0.000000000000000000e+00
-1.498435316195076261e+01 3.722711336062766163e-01 3.882753570132920551e+00 1.443735424354624763e+00 -6.182635802649838475e-01 -1.156575840543628075e+01 0.000000000000000000e+00
-1.672820375669164505e+01 3.876105192479537997e+00 3.224662617206371706e+00 1.492802002517506832e+00 1.924615947074760802e+00 -1.156575678528836804e+01 0.000000000000000000e+00
-1.328968625247378199e+01 4.963151386712588931e+00 2.011837462149608236e-01 -5.534457057914550226e-01 -3.060238029896528156e-01 -1.156575523561331664e+01 0.000000000000000000e+00
-1.209681415731821019e+01 5.747996814564473311e+00 1.429211418720672366e+00 1.181053973447546923e+00 -8.442421338746028958e-01 -1.156559637535235829e+01 0.000000000000000000e+00
-1.251096203378009619e+01 4.759990980325367049e-01 4.782327437353021793e+00 -1.567630845352123048e+00 3.335318739925063891e-01 -1.156558259755916218e+01 0.000000000000000000e+00
-1.109597582025835649e+01 1.177534477476515962e+00 4.204399670383299537e+00 1.049077831260476712e+00 5.911467261653139404e-01 -1.156541354036896152e+01 0.000000000000000000e+00
-8.926751698425460901e+00 1.306042895035577134e+00 2.345852613430075007e+00 -1.110134554595133993e+00 6.986020098342067275e-01 -1.153837980623919179e+01 0.000000000000000000e+00
-1.409391303390236994e+00 2.933136841094635017e+00 1.624322879793702379e+00 -2.649065662443606861e+00 -9.795420062434769815e-01 -1.108799511615302791e+01 0.000000000000000000e+00
-1.227269528177290780e+01 4.288286283610012184e+00 1.676640736899299267e+00 -1.991058653095205022e+00 1.757362734942217397e+00 -1.106634670016531707e+01 0.000000000000000000e+00
-6.907154608490159831e+00 -2.668638754335179719e-01 4.526103736753105622e+00 -2.551197313765217078e+00 5.875934474214002945e-01 -1.075004412644565477e+01 0.000000000000000000e+00
-2.867881329556723813e+00 -8.459262522225923231e-01 1.411765731488372921e+00 1.789216702548356297e+00 6.870764456041237311e-01 -9.049318674550733022e+00 0.000000000000000000e+00
-9.825660219759830838e+00 6.608508005184089207e+00 2.675267669482145116e+00 -1.533668831963048262e+00 1.253653303146020193e+00 -8.973949968951064449e+00 0.000000000000000000e+00
-3.354828220032177288e+00 3.249830376017456057e+00 7.220742192683488048e-01 2.258596388344457750e+00 6.085659291315745900e-01 -8.267308582591018862e+00 0.000000000000000000e+00
-1.180306814509513913e+00 6.994351742601598865e-01 4.708344692856488933e+00 -3.432608049192750754e-01 -6.157547313348963325e-01 -8.156517217285147225e+00 0.000000000000000000e+00
-4.615361830967080969e+00 -1.564319978937795064e+00 4.539099706148342683e+00 -2.678617787551343721e+00 3.732910110514513491e-01 -8.131879909784784033e+00 0.000000000000000000e+00
-1.173222049695961999e+01 2.238538921994280617e+00 1.048764040521792174e+00 -2.803036612035941566e+00 1.831320271576711622e+00 -8.065671729137784851e+00 0.000000000000000000e+00
-4.055836144105954943e+00 5.281768362225225388e+00 2.586495220565047770e+00 1.119280633248653567e+00 -3.357902684741480570e-01 -8.061839970083990892e+00 0.000000000000000000e+00
-2.181633115496578235e+00 -3.339307868259659973e-01 2.149681091628099061e+00 1.680931125402791881e+00 -3.586985203250100951e-01 -8.047454344634136447e+00 0.000000000000000000e+00
