# logn beta gamma alpha delta logL logPrior
-4.614047037306350241e+00 4.374511398818647478e+00 4.744286943985403404e+00 2.249107777423603682e+00 1.353845560964543893e+00 -1.083377734019761540e+01 0.000000000000000000e+00
-3.796178876473762509e-01 1.472799195442396236e+00 8.710341157997240069e-01 1.491709908792395289e+00 1.770320736941642270e+00 -7.738231593174910827e+00 0.000000000000000000e+00
-2.682019154765156621e+00 4.538030136659953473e-01 2.953440370447829810e+00 -5.221725736917894878e-01 1.394832046493173161e+00 -7.592030869405882676e+00 0.000000000000000000e+00
-2.098679998071792951e+00 1.756392109499820053e+00 1.832617107808994783e+00 -1.058909388138855157e+00 7.517093685411414539e-01 -7.267322599443527764e+00 0.000000000000000000e+00
1.046039249862668274e+00 5.322639629516427995e+00 2.617073910212389110e-01 -1.845352113953421025e+00 -3.349531726810018317e-01 -7.179010124356953071e+00 0.000000000000000000e+00
-3.779609784148165286e+00 3.536446935725162000e+00 4.594708018596165289e+00 1.886909026097311370e+00 1.383432477517134274e+00 -7.056101027358022471e+00 0.000000000000000000e+00
-3.165834277923994300e+00 -1.450596137722486745e+00 1.839576052860296462e+00 -9.325202156963423583e-01 1.432415731673699621e+00 -6.957440343197231591e+00 0.000000000000000000e+00
-3.919729332318648840e+00 4.060232507771364574e+00 4.335975917911661703e+00 1.507211228501116329e+00 8.780014666590545414e-01 -6.929074905149178676e+00 0.000000000000000000e+00
-2.921865267941698985e-01 -1.484459115083450298e+00 2.503696327636482977e+00 9.411752274726958856e-01 -9.961859398438142055e-01 -6.565446533477687474e+00 0.000000000000000000e+00
-3.043903392895954241e+00 5.608312945633522340e-01 3.560946278143590327e+00 2.983074489661960538e+00 7.708924884426399116e-01 -6.316918015245196472e+00 0.000000000000000000e+00
-2.582753503076616219e+00 6.098278012959148953e+00 4.210835427955041510e+00 -1.729862521529555108e+00 -7.098167384810989411e-01 -6.125364122256203636e+00 0.000000000000000000e+00
2.289963937983487519e+00 -1.509249713246442193e+00 1.306354918416845479e+00 -4.828847088383149133e-01 -7.448065032195891888e-01 -6.108481230460323985e+00 0.000000000000000000e+00
