# logn beta gamma alpha delta logL logPrior
-1.055232314634839241e+00 5.854896519601328064e-01 1.023728018194048239e+00 1.863509238656134048e+00 -9.035873984439867224e-01 -9.937738220669832145e+00 0.000000000000000000e+00
-1.404992845478134100e+01 6.480574138781947546e+00 2.288196989598702658e+00 -2.425414775540741363e+00 2.207587469930441859e+00 -9.324455734589955469e+00 0.000000000000000000e+00
-1.653439842756320832e+00 1.266225653594631906e+00 4.176545427439068980e-01 -1.349817498433135254e+00 6.432834179228552607e-02 -7.717172413082019844e+00 0.000000000000000000e+00
-5.601253421657540477e-01 2.262201207623151800e-02 2.223329785690685956e+00 1.890144602653477168e+00 6.183778633330039298e-01 -6.382621357797564343e+00 0.000000000000000000e+00
-1.892202566404702191e+00 2.165610233663634254e+00 4.277452820503440556e+00 -1.661242008652759505e+00 -1.515565945160491368e-01 -6.216214673568158489e+00 0.000000000000000000e+00
-3.165336355254343204e+00 3.892140769520984200e+00 1.084793317612442021e+00 -3.044366572344914257e-01 5.398250947705176550e-01 -6.088933653716100736e+00 0.000000000000000000e+00
-4.696709122895055266e+00 3.482070488173971246e+00 3.047383855601440317e+00 -1.840119010109506625e+00 4.940759591683006602e-01 -5.983489291511234320e+00 0.000000000000000000e+00
-3.469615538279209321e+00 5.178665832490800369e+00 3.584671971755375441e+00 8.724983710834520734e-01 3.543264158570269551e-02 -5.933678046594951461e+00 0.000000000000000000e+00
-1.607327152390692238e+00 4.693655371775395935e+00 1.561791588514240825e+00 1.516734574205739428e+00 -1.081703282255256637e-01 -5.822406071778430281e+00 0.000000000000000000e+00
-2.701234415088908311e-02 1.529844306971307466e+00 1.481621428046617783e+00 -1.658750914509842245e+00 -2.045853108493750072e-01 -5.817400220009457890e+00 0.000000000000000000e+00
-4.634837208922271690e-01 -5.954488358454781416e-01 7.573386646218279727e-01 -2.853003461369593374e+00 -3.564328803264913414e-01 -5.691639141953009684e+00 0.000000000000000000e+00
-4.909301365095749325e+00 2.445466567389765533e+00 1.980503850932227472e+00 7.390536509447057090e-03 2.606771868896152977e+00 -5.648980900381570081e+00 0.000000000000000000e+00
-3.053177792151371417e+00 6.217887598219483891e+00 2.648803412817472669e+00 2.456797689425964215e+00 -7.252271403486731938e-01 -5.601881915299072645e+00 0.000000000000000000e+00
-2.771925497983371844e+00 5.964966895254041113e+00 4.722647794817098621e+00 -2.029278672862836697e+00 -1.817657446244681507e-01 -5.590306436607986207e+00 0.000000000000000000e+00
-6.243087006924994853e+00 5.863469108079451431e+00 1.080940842653828948e+00 -2.464873117990323603e+00 5.831205748234781217e-01 -5.539554863268846496e+00 0.000000000000000000e+00
-8.862964620652025616e+00 4.294620755764068099e-01 8.247187128229981345e-01 -2.573574127636078845e+00 1.607995037676029693e+00 -5.517311593594830477e+00 0.000000000000000000e+00
-8.892647921816682066e-01 -7.786554981845638101e-01 4.933478435301138276e+00 1.659699020840027073e+00 2.712224212652234012e+00 -5.243474357415910170e+00 0.000000000000000000e+00
-2.811856106280315348e+00 3.520777689227949647e+00 2.727951323564816732e-01 -8.564608528249020303e-01 1.086299429244744541e+00 -5.173055824302415395e+00 0.000000000000000000e+00
-3.361102806976743018e+00 1.224465001750267845e+00 2.981809398897818486e+00 -2.704947063586882194e-02 1.108631789332325646e+00 -5.141641137749718204e+00 0.000000000000000000e+00
-7.093690902407359999e+00 2.042020922448157527e-01 4.622881267756776325e+00 -5.906286190439629102e-01 2.531904447577141504e+00 -5.115453784665653814e+00 0.000000000000000000e+00
-4.466774335708355359e+00 5.525652798234472307e+00 4.572967761398833986e+00 5.009751806482649616e-01 1.664480570917143298e+00 -5.079335606102057810e+00 0.000000000000000000e+00
-1.612977917003690864e+00 -2.850102807793148951e-01 1.639617509962038033e+00 4.145496177466075349e-01 1.337923749064659606e+00 -5.014377793208294243e+00 0.000000000000000000e+00
-3.763168540326801370e+00 6.988786072516339765e+00 1.577535267008230990e+00 1.599259361041646121e+00 2.329345749548195954e+00 -4.963384465042796734e+00 0.000000000000000000e+00
-5.022033026696270497e+00 6.452626131226164574e+00 9.001039722571468893e-01 -5.886824356146935777e-02 1.821686947689735714e+00 -4.959904728695670784e+00 0.000000000000000000e+00
-3.854070944502514529e+00 1.909185226801691115e+00 1.751549202457854060e+00 8.498938498804742281e-01 2.695782480099520484e+00 -4.956821962929066849e+00 0.000000000000000000e+00
-2.091329825478582816e+00 -1.294774940482624759e+00 6.036697405931745752e-01 7.617533757128941430e-02 8.160107907879060596e-01 -4.898703859253332737e+00 0.000000000000000000e+00
-5.451862020004557330e+00 6.972417235730624441e+00 4.705663103348811660e+00 1.169117641167138899e+00 1.171754378000164909e+00 -4.885750859853917660e+00 0.000000000000000000e+00
-2.620433202716225374e+00 6.185071694108464690e+00 2.878830770654878801e+00 -2.116133812701140648e+00 -2.221125212939419891e-01 -4.842036434674493073e+00 0.000000000000000000e+00
-3.806444081291736392e+00 5.906507200902820109e+00 4.608895144052700843e+00 8.910729577046736516e-01 -1.347576955468346993e-01 -4.835098556531182368e+00 0.000000000000000000e+00
-4.511903134708558638e-01 2.784225257964406897e+00 2.185321016812334260e+00 1.555403961067398200e+00 -7.428212467305819189e-01 -4.821274759585561398e+00 0.000000000000000000e+00
-3.311654021879996801e+00 -3.805308919724506023e-01 3.102382447357241890e+00 4.031611281634613908e-01 2.619416310169118134e+00 -4.777971353654935527e+00 0.000000000000000000e+00
-1.958204381287779627e+00 -1.068300622665521615e+00 1.751395555598563858e+00 2.585862392751669514e+00 2.644444942294530421e+00 -4.740123483176499342e+00 0.000000000000000000e+00
-2.086084635652119434e+00 2.433280638079615699e+00 3.026524543981677695e+00 9.895203057873325214e-01 1.727070498984903502e+00 -4.733383168378020756e+00 0.000000000000000000e+00
-5.625007022608330409e+00 3.839583690019966689e+00 3.596773295870521636e+00 1.733582259049282204e-01 2.055985230821037568e+00 -4.708068355118893322e+00 0.000000000000000000e+00
-1.226650280625613876e+00 -9.741756737322290194e-01 1.751565205442379369e+00 -9.814721924280814802e-01 1.587159718356517812e-02 -4.704288003463474865e+00 0.000000000000000000e+00
-5.002870481423752125e+00 6.276361656354572105e+00 1.073138607604963823e+00 7.841727917127996328e-01 2.059136015583579393e+00 -4.691596704606121548e+00 0.000000000000000000e+00
-6.482353088472735614e+00 -8.311481285666411090e-01 3.598459679102531172e+00 -2.025223639842252954e+00 1.293815799675736899e+00 -4.668649810765350239e+00 0.000000000000000000e+00
-1.655065683826469014e+00 -6.083610741223968166e-01 2.563242526742901095e+00 2.269014444652185158e+00 -1.113932690590934416e-01 -4.662004047372066751e+00 0.000000000000000000e+00
-1.912838789757296043e+00 2.400487921444394601e+00 4.548815638615724133e-01 1.431530850190537496e+00 1.328591884744954488e+00 -4.642553611388566814e+00 0.000000000000000000e+00
-1.487196065108448817e+00 5.075685025976863329e+00 2.636928003061687065e+00 -2.895633719458283295e+00 -3.708877867903913605e-01 -4.636717593717945007e+00 0.000000000000000000e+00
1.264144510622646322e+00 -1.141093781262743967e+00 2.871627162363874941e+00 -3.819999834932530369e-01 -5.773094461768205621e-01 -4.635297861371101114e+00 0.000000000000000000e+00
-2.842247737926227202e+00 5.902639549120884510e+00 7.192119099083128519e-01 5.917866815962067317e-01 1.368382798341202689e+00 -4.634831002284975909e+00 0.000000000000000000e+00
-1.447318191788732555e+00 1.748067252982292263e+00 1.492046094982465210e+00 7.309525434813672895e-01 1.112699108261525627e+00 -4.571336471269374258e+00 0.000000000000000000e+00
1.071001574239894172e+00 1.850282804183807084e+00 4.452511709655533334e-01 4.749996915040284873e-01 -7.231106757755482173e-01 -4.557943083481618807e+00 0.000000000000000000e+00
-7.583518795315166372e+00 2.165569424635452211e+00 3.354732792458204660e+00 -2.119678762412196438e+00 1.634580790779138537e+00 -4.556941503444997821e+00 0.000000000000000000e+00
6.080185559474495793e-01 1.659165507332975631e+00 2.151063486180671447e+00 1.056253563379772331e-01 -6.136971324592201960e-01 -4.518685571877256280e+00 0.000000000000000000e+00
-4.528883397045324166e+00 -1.285153006743522397e+00 2.709877703168575014e+00 -5.805271007890659973e-01 2.028767414882544085e+00 -4.506226485202630805e+00 0.000000000000000000e+00
-4.493101626862744391e-02 -1.917625259911384550e+00 2.114023591599415663e+00 1.552701463008535399e+00 1.914772625211846879e-02 -4.473377617934687578e+00 0.000000000000000000e+00
-1.283702414086272370e+01 3.149431080463640065e+00 1.346189419345605875e+00 -2.292947684179341916e+00 2.580381528015123660e+00 -4.439479966538535827e+00 0.000000000000000000e+00
-2.377017121696988422e+00 4.438997396630044889e+00 1.083676249030900207e+00 -3.464361428305427482e-01 6.019094601555419199e-01 -4.437348028652894349e+00 0.000000000000000000e+00
-1.608117062321741564e+00 -3.489286502217948671e-01 2.898186482420146426e-01 1.642711074054536313e+00 2.467993799240118857e+00 -4.433873561013894182e+00 0.000000000000000000e+00
-8.740437498452178211e-01 -8.046044655779800436e-01 3.461265977202509614e+00 1.542028272174427173e+00 1.996975122454296647e+00 -4.424950901693101457e+00 0.000000000000000000e+00
-1.991521500969900771e+00 3.598698056364646902e+00 1.784583366933196746e+00 2.754486652604521080e+00 -1.487763180818737485e-01 -4.422707055490895378e+00 0.000000000000000000e+00
-7.716831992511264282e+00 3.937687610087237555e+00 1.386535106980044452e+00 -1.693092810131946901e+00 1.509685689487545668e+00 -4.402427984984933929e+00 0.000000000000000000e+00
-4.880617994431989959e-01 7.033653179161577507e-01 4.511723044834713647e+00 -1.203387059298792972e+00 -4.024988516927829330e-01 -4.372392719427233843e+00 0.000000000000000000e+00
-2.302037403448693453e+00 5.631531528005319309e+00 3.871825924611336234e+00 -4.237546871053594066e-01 -1.533280838314311778e-01 -4.372303297511241027e+00 0.000000000000000000e+00
-3.639002928548648041e-01 5.447481993163079572e+00 7.146189592372503840e-01 -2.867250575054127282e+00 -6.597293203348296720e-01 -4.361420918833768923e+00 0.000000000000000000e+00
-6.535021632076198017e+00 4.547541874975769893e+00 3.329199187751010314e+00 -2.893308222355281956e+00 5.440579598577477416e-01 -4.360648861885366934e+00 0.000000000000000000e+00
-1.038095102211091003e+01 5.632599904264008472e+00 1.882163492368902791e+00 -2.663925073723224735e+00 1.417180066656331450e+00 -4.354266974970903092e+00 0.000000000000000000e+00
-1.397379422417821537e-01 4.774625055368090898e+00 6.835417096967870698e-01 -2.505514142981596581e+00 -6.483981392209413608e-01 -4.342118418389545376e+00 0.000000000000000000e+00
-1.848828205134558811e+00 8.203480153540665398e-01 3.918497361550372649e+00 2.205265116240096912e+00 -2.792558593355523033e-01 -4.339331257875747916e+00 0.000000000000000000e+00
-5.664942462303249826e+00 1.293202445832121183e+00 3.701092132867214612e+00 -3.942423313955721875e-01 2.000379747422691867e+00 -4.339130428201984024e+00 0.000000000000000000e+00
-4.305763395053549547e-01 -1.019902039622337941e+00 2.738854915679629354e+00 -1.725822221732904005e+00 -1.738024444194463669e-03 -4.302295277798742212e+00 0.000000000000000000e+00
-1.830732624947626563e+00 1.118614936866002552e+00 4.522777220788648300e+00 1.067591064846025617e+00 3.881499900476887421e-01 -4.284155087924983007e+00 0.000000000000000000e+00
-2.489607585887655183e+00 -1.147797723347505183e+00 6.499748547851564862e-01 6.150959288047417317e-01 2.587670866597894470e+00 -4.265611373961489150e+00 0.000000000000000000e+00
-3.103906827715158023e+00 5.152009452011318658e+00 4.788995495088673060e+00 1.629420454667633411e+00 1.473636906868450058e+00 -4.254060514578331897e+00 0.000000000000000000e+00
-1.856640056666756911e+00 -4.781731748380476654e-01 6.641380607137511438e-01 2.880557963640469676e+00 -1.963616152306738860e-01 -4.203903409792881796e+00 0.000000000000000000e+00
-4.192882236718814326e+00 -7.094245655059041589e-01 3.982233451568924387e+00 -2.151429047416395957e+00 9.079653534852447638e-01 -4.169627212662153859e+00 0.000000000000000000e+00
-2.635083380368117290e-01 -1.279291250027894122e-01 4.005751396635464090e+00 2.305089900094155375e+00 -8.108793698791292304e-01 -4.155988092096850828e+00 0.000000000000000000e+00
-7.744611728945345330e-01 -5.253620849125236747e-01 1.026142114262813543e+00 2.365302233046185254e+00 1.782244615640920848e+00 -4.120436084116429143e+00 0.000000000000000000e+00
