# logn beta gamma alpha delta logL logPrior
-2.237810688347690480e+00 2.396573611536250148e+00 3.068046702358343314e+00 -2.964468634402725122e+00 -2.297908201877862933e-01 -1.026680148205134024e+01 0.000000000000000000e+00
-5.669980317956953009e+00 -1.340717103421975587e-01 1.563826277350841565e+00 -1.913521918604372374e+00 1.478056072043715918e+00 -8.683096485933456066e+00 0.000000000000000000e+00
-5.418944571954479983e+00 2.235646827219264221e+00 4.444075560262266578e+00 -2.749823447627083084e+00 5.333278686952467318e-01 -7.408197741011087523e+00 0.000000000000000000e+00
-5.182456154349874389e+00 1.396890663289751977e+00 4.326249250671257762e+00 -1.148083461324697740e+00 1.629892375296811080e+00 -7.308107848344973512e+00 0.000000000000000000e+00
-1.169127819818399194e+00 4.228433576350926870e+00 4.978359216802289211e+00 -2.480926919716916146e+00 -3.330558586441200175e-01 -7.059780231056270061e+00 0.000000000000000000e+00
-1.309116538282886033e+01 5.756808795394214862e+00 2.741450469509469023e+00 -2.805100115134981920e+00 1.860849371970848765e+00 -6.751573869595611121e+00 0.000000000000000000e+00
-2.402863452621637919e+00 6.816406324823266694e+00 8.191974399658210615e-01 -9.508667687054130901e-01 -3.676988324232859373e-01 -6.584386161726333064e+00 0.000000000000000000e+00
-7.046622691759242940e+00 6.052500407173098118e+00 1.418377020844235892e+00 -1.558192487214740130e+00 1.408098158935152888e+00 -6.547425198054501294e+00 0.000000000000000000e+00
-2.890418420830703550e+00 4.564041001019860655e-01 4.108071160045784209e-01 -2.471969240437106863e-01 1.671224848890173753e+00 -6.463500705308697469e+00 0.000000000000000000e+00
-2.994127174752683196e+00 -1.269497424231249116e+00 2.752276036216894539e+00 -2.537539988416532832e+00 2.392161069755406044e-01 -6.253146427509255645e+00 0.000000000000000000e+00
-3.046020406276738424e+00 5.118365770438290108e-01 3.845069488309316164e+00 -1.425304378922526150e+00 8.226124772387989337e-01 -6.241800301070655088e+00 0.000000000000000000e+00
-4.377243392567632618e+00 -1.193609282077190192e+00 3.006550683196084761e-01 -1.845161270418657296e+00 8.802887785924425890e-01 -5.931442367418675587e+00 0.000000000000000000e+00
-1.629768845328658511e+00 6.944446093519681007e+00 3.262019301569158092e+00 -1.698903218475752652e+00 -9.939941519177293294e-01 -5.831967692471284437e+00 0.000000000000000000e+00
-3.081701629971168810e+00 -1.144864897807800208e+00 2.759813831944605500e+00 -2.947821206020515561e-01 1.018507565216484778e+00 -5.819489145240660299e+00 0.000000000000000000e+00
-6.532749822290154107e+00 2.613203387580480985e+00 1.718436401574384931e+00 -1.325664026428862829e+00 1.463765206139943320e+00 -5.776974813132695452e+00 0.000000000000000000e+00
-5.930764941451832861e+00 6.207413012855333534e+00 4.463355713458171947e-01 -1.548368969164180875e+00 1.075919448924800292e+00 -5.707445719019315966e+00 0.000000000000000000e+00
-8.008810368703709770e+00 1.942388097874027109e+00 4.929507822136187656e+00 -2.606317712834890887e+00 1.503780020599329470e+00 -5.681436013895529769e+00 0.000000000000000000e+00
-8.519739630729292301e+00 5.011599153943679497e+00 1.094669696524298352e+00 -1.839993762076601369e+00 1.546217521768326053e+00 -5.679464572444919312e+00 0.000000000000000000e+00
-5.158842829792423146e+00 6.950161444208840855e+00 2.332588421209195406e+00 -1.048842168127697705e-02 1.238069218520846393e+00 -5.601792131975735778e+00 0.000000000000000000e+00
-1.049301849893659444e+01 5.012777602768268892e+00 3.472415018847248902e+00 -2.097974991330176842e+00 1.733840950353872312e+00 -5.557711181238935261e+00 0.000000000000000000e+00
1.756537003573934941e+00 -1.528300794312257294e+00 3.033597940871061382e+00 -1.057617013431635167e+00 -6.530124528147855933e-01 -5.530936610345899673e+00 0.000000000000000000e+00
-6.429479002370217522e+00 3.130409147561069361e+00 4.993767491560528349e+00 -2.049098293452851216e+00 1.242070184688789602e+00 -5.395834407301901336e+00 0.000000000000000000e+00
-7.063654350030897255e+00 3.578256805555449560e+00 1.762276868850244593e+00 -2.138279997829191093e+00 1.405109697595782636e+00 -5.349642204886062125e+00 0.000000000000000000e+00
