# logn beta gamma alpha delta logL logPrior
-1.945919552428438237e+01 1.852870428707204198e+00 3.284559307341283318e+00 1.301318087097634857e+00 2.910195003964829441e-01 -1.156575961465342672e+01 0.000000000000000000e+00
-1.609963597578598282e+01 -1.019748056587722829e+00 2.860889467364985617e+00 2.059501296628943656e+00 1.373004979003961568e+00 -1.156575881235187353e+01 0.000000000000000000e+00
-1.203866974032812109e+01 -1.618750576867357682e-01 7.805727761081029392e-01 -2.245199370067368250e+00 -8.386639934187842815e-01 -1.156575770680382753e+01 0.000000000000000000e+00
-1.649698615304980365e+01 2.825938204878788884e+00 3.363973319303048992e+00 5.908460295957667086e-01 1.093439517305329955e+00 -1.156575675601866493e+01 0.000000000000000000e+00
-1.059904834638401461e+01 -1.817717005128501873e+00 3.326236554737134643e+00 -1.061450327387843728e+00 -2.469055466539894494e-01 -1.156565439787725325e+01 0.000000000000000000e+00
-1.151487599990484156e+01 6.186660625070723452e-01 9.233881212364715152e-01 1.412906709390045368e+00 3.199246862728084562e-01 -1.156564501129738076e+01 0.000000000000000000e+00
-1.457174199802006598e+01 5.109526924248386059e+00 4.371971603421218155e+00 6.057610876426690050e-01 1.625886104881127503e+00 -1.156553250932074484e+01 0.000000000000000000e+00
-3.965726211456941819e+00 -5.431493980055629445e-01 4.175981406719190936e+00 -1.544795172520431414e+00 -9.561526602134946540e-01 -1.154474207494016369e+01 0.000000000000000000e+00
-3.017702547929350665e+00 6.235521574550888069e+00 3.801148772908773843e+00 -1.909045885891715866e-01 6.754832995590942524e-02 -1.117040469395494107e+01 0.000000000000000000e+00
-1.318844872951157043e+01 1.886244029394554822e+00 3.477118161763815607e+00 -2.347653120595167398e+00 1.930975194813234985e+00 -1.114936114696411451e+01 0.000000000000000000e+00
-5.241420557643399647e+00 -5.450848064155264794e-01 3.614804650373145023e+00 7.698502730629099844e-01 1.778223024197226554e+00 -1.088011382268517480e+01 0.000000000000000000e+00
-1.154145283038663727e+01 2.202466159681654823e+00 4.353340597237619569e+00 -2.424769338684477304e+00 1.805801814989824727e+00 -9.361266472780913617e+00 0.000000000000000000e+00
-2.274390106020041102e+00 -1.215547612898231655e+00 4.326265867906582407e+00 -2.837812780872075891e+00 -2.768090234732015764e-01 -9.298451192143273758e+00 0.000000000000000000e+00
-6.347188379627478838e+00 5.347790819516949234e+00 3.820232293006100566e+00 3.769655053323471283e-01 1.331930678103368404e+00 -8.626405817944487353e+00 0.000000000000000000e+00
-7.749902668221649193e+00 1.511431059232547058e+00 2.008448033310374026e+00 -1.360522046648945160e+00 1.588151629972304857e+00 -8.496534221721473656e+00 0.000000000000000000e+00
-4.173352983707812491e+00 4.499877682918744348e+00 1.661775936346959082e+00 -1.310816834628807825e+00 5.834795346580129438e-02 -8.476042632809496880e+00 0.000000000000000000e+00
-1.027672196238058255e+01 1.885569874958138881e+00 2.080473202623577045e+00 -2.993530871546836281e+00 1.370947268681849573e+00 -8.426384405302107083e+00 0.000000000000000000e+00
-8.393585449617527061e+00 4.937025712044627923e+00 4.912982496767712703e+00 -8.223574697703701641e-01 1.538643764927266400e+00 -8.423780783902211411e+00 0.000000000000000000e+00
-6.654364135196837005e+00 5.661045462705559750e+00 4.896200134161874828e+00 3.342255341513085121e-01 1.357485791600291591e+00 -8.409823704664166399e+00 0.000000000000000000e+00
-9.860602273082253788e+00 5.084662680693284642e+00 2.929766278849064154e+00 -2.381050794366534440e+00 1.185543690636505110e+00 -8.143519476222921938e+00 0.000000000000000000e+00
-4.705506254241779374e+00 4.459232019402215919e+00 4.693691899842459492e+00 1.321686224018364442e+00 1.094714313921471671e+00 -7.987412508800544764e+00 0.000000000000000000e+00
-7.168955642351885871e+00 6.245724560484068599e-02 4.276941115960696926e+00 -1.635102825345867261e+00 1.366795380660756454e+00 -7.920162835400918588e+00 0.000000000000000000e+00
-2.943644959498197711e+00 5.552661616711541015e+00 3.577198634639566333e+00 -1.323042056452537807e+00 -6.287852774998313743e-01 -7.752438285697291320e+00 0.000000000000000000e+00
-2.992144438404975570e+00 2.299347166255312658e+00 1.759029846875885372e+00 1.676983565746947846e+00 2.501322058332663967e-01 -7.740318153173633142e+00 0.000000000000000000e+00
-2.877879715102872105e+00 4.976652533189552585e+00 3.247967737827183843e+00 4.411100914164026721e-01 -8.170946014457881601e-01 -7.714354549847606712e+00 0.000000000000000000e+00
-6.360734061665295869e+00 -8.526861876758501380e-01 1.285402969822768249e+00 -2.185101007961724573e+00 9.821203635974034007e-01 -7.611374409299483723e+00 0.000000000000000000e+00
-1.438827181415175183e+00 8.114869650672900114e-01 5.296104987933668573e-01 -5.105621039650104498e-01 -2.120579189622608940e-01 -7.453804147844775407e+00 0.000000000000000000e+00
-2.045404108058359149e+00 1.386165788967026247e+00 2.784084658057267792e+00 -2.892692672267135889e-01 -1.618816419563972042e-01 -7.424315548738420922e+00 0.000000000000000000e+00
-6.056100035021062311e+00 -6.712503086729181001e-02 1.674928413917051273e+00 -2.679986933809844096e+00 7.245548395219240101e-01 -7.214972170957150155e+00 0.000000000000000000e+00
5.636929119868706595e-01 -1.264182777201100283e+00 1.522712773059267555e+00 -8.663522085109833792e-01 -9.448166868116617545e-01 -7.183067524939968251e+00 0.000000000000000000e+00
-1.918884110397706788e+00 6.932110762810649085e+00 1.172285728125572080e+00 -1.656143450297768105e+00 -8.751340827313054405e-01 -7.084098065419707879e+00 0.000000000000000000e+00
